D = 1
1.260755 128 5 1
1.213225 256 5 1
1.174489 512 5 1
1.205431 1024 5 1
1.194353 2048 5 1
1.208997 4096 5 1
1.199721 8192 5 1
1.195563 16384 5 1
1.202116 32768 5 1
1.198678 65536 5 1
1.197336 131072 5 1
1.201236 262144 5 1
D = 2
7.647711 128 5 2
10.542806 256 5 2
14.902179 512 5 2
21.077896 1024 5 2
29.690281 2048 5 2
41.673500 4096 5 2
58.996269 8192 5 2
83.113731 16384 5 2
117.424240 32768 5 2
166.031342 65536 5 2
234.670700 131072 5 2
331.748474 262144 5 2
D = 3
17.743305 128 5 3
27.612823 256 5 3
42.970650 512 5 3
68.340012 1024 5 3
107.086990 2048 5 3
169.648270 4096 5 3
267.046692 8192 5 3
422.624451 16384 5 3
668.387207 32768 5 3
1059.177002 65536 5 3
1676.587891 131072 5 3
2657.501221 262144 5 3
D = 4
28.743078 128 5 4
46.845009 256 5 4
78.330147 512 5 4
129.268555 1024 5 4
216.691132 2048 5 4
360.736938 4096 5 4
602.683228 8192 5 4
1010.026550 16384 5 4
1688.964111 32768 5 4
2825.677490 65536 5 4
4742.051758 131072 5 4
7948.265625 262144 5 4

